#
# 资金资产信息
#
# 1. 资金帐户（cashAcctId : C12）
# 2. 币种（currType）
#   - 0 人民币
#   - 1 港币
#   - 2 美元
# 3. 期初余额（N20.2）
# 4. 期初可用余额（N20.2）
# 5. 期初可取余额（N20.2）
# 6. 冻结总金额（N20.2，暂未使用）
# 

#FundAcc    |CurType |BeginningBal |AvaiableBal  |DrawableBal  |FrzBal
188800000000|0       |1000000000   |1000000000   |1000000000   |0
188800000001|0       |1000000000   |1000000000   |1000000000   |0
188800000002|0       |1000000000   |1000000000   |1000000000   |0
188800000003|0       |1000000000   |1000000000   |1000000000   |0
188800000004|0       |1000000000   |1000000000   |1000000000   |0
188800000005|0       |1000000000   |1000000000   |1000000000   |0
188800000006|0       |1000000000   |1000000000   |1000000000   |0
188800000007|0       |1000000000   |1000000000   |1000000000   |0
188800000008|0       |1000000000   |1000000000   |1000000000   |0
188800000009|0       |1000000000   |1000000000   |1000000000   |0
188800000010|0       |1000000000   |1000000000   |1000000000   |0
188800000011|0       |1000000000   |1000000000   |1000000000   |0
188800000012|0       |1000000000   |1000000000   |1000000000   |0
188800000013|0       |1000000000   |1000000000   |1000000000   |0
188800000014|0       |1000000000   |1000000000   |1000000000   |0
188800000015|0       |1000000000   |1000000000   |1000000000   |0
188800000016|0       |1000000000   |1000000000   |1000000000   |0
188800000017|0       |1000000000   |1000000000   |1000000000   |0
188800000018|0       |1000000000   |1000000000   |1000000000   |0
188800000019|0       |1000000000   |1000000000   |1000000000   |0
188800000020|0       |1000000000   |1000000000   |1000000000   |0
188800000021|0       |1000000000   |1000000000   |1000000000   |0
188800000022|0       |1000000000   |1000000000   |1000000000   |0
188800000023|0       |1000000000   |1000000000   |1000000000   |0
188800000024|0       |1000000000   |1000000000   |1000000000   |0
188800000025|0       |1000000000   |1000000000   |1000000000   |0
188800000026|0       |1000000000   |1000000000   |1000000000   |0
188800000027|0       |1000000000   |1000000000   |1000000000   |0
188800000028|0       |1000000000   |1000000000   |1000000000   |0
188800000029|0       |1000000000   |1000000000   |1000000000   |0
188800000030|0       |1000000000   |1000000000   |1000000000   |0
188800000031|0       |1000000000   |1000000000   |1000000000   |0
188800000032|0       |1000000000   |1000000000   |1000000000   |0
188800000033|0       |1000000000   |1000000000   |1000000000   |0
188800000034|0       |1000000000   |1000000000   |1000000000   |0
188800000035|0       |1000000000   |1000000000   |1000000000   |0
188800000036|0       |1000000000   |1000000000   |1000000000   |0
188800000037|0       |1000000000   |1000000000   |1000000000   |0
188800000038|0       |1000000000   |1000000000   |1000000000   |0
188800000039|0       |1000000000   |1000000000   |1000000000   |0
188800000040|0       |1000000000   |1000000000   |1000000000   |0
188800000041|0       |1000000000   |1000000000   |1000000000   |0
188800000042|0       |1000000000   |1000000000   |1000000000   |0
188800000043|0       |1000000000   |1000000000   |1000000000   |0
188800000044|0       |1000000000   |1000000000   |1000000000   |0
188800000045|0       |1000000000   |1000000000   |1000000000   |0
188800000046|0       |1000000000   |1000000000   |1000000000   |0
188800000047|0       |1000000000   |1000000000   |1000000000   |0
188800000048|0       |1000000000   |1000000000   |1000000000   |0
188800000049|0       |1000000000   |1000000000   |1000000000   |0
188800000050|0       |1000000000   |1000000000   |1000000000   |0
188800000051|0       |1000000000   |1000000000   |1000000000   |0
188800000052|0       |1000000000   |1000000000   |1000000000   |0
188800000053|0       |1000000000   |1000000000   |1000000000   |0
188800000054|0       |1000000000   |1000000000   |1000000000   |0
188800000055|0       |1000000000   |1000000000   |1000000000   |0
188800000056|0       |1000000000   |1000000000   |1000000000   |0
188800000057|0       |1000000000   |1000000000   |1000000000   |0
188800000058|0       |1000000000   |1000000000   |1000000000   |0
188800000059|0       |1000000000   |1000000000   |1000000000   |0
188800000060|0       |1000000000   |1000000000   |1000000000   |0
188800000061|0       |1000000000   |1000000000   |1000000000   |0
188800000062|0       |1000000000   |1000000000   |1000000000   |0
188800000063|0       |1000000000   |1000000000   |1000000000   |0
188800000064|0       |1000000000   |1000000000   |1000000000   |0
188800000065|0       |1000000000   |1000000000   |1000000000   |0
188800000066|0       |1000000000   |1000000000   |1000000000   |0
188800000067|0       |1000000000   |1000000000   |1000000000   |0
188800000068|0       |1000000000   |1000000000   |1000000000   |0
188800000069|0       |1000000000   |1000000000   |1000000000   |0
188800000070|0       |1000000000   |1000000000   |1000000000   |0
188800000071|0       |1000000000   |1000000000   |1000000000   |0
188800000072|0       |1000000000   |1000000000   |1000000000   |0
188800000073|0       |1000000000   |1000000000   |1000000000   |0
188800000074|0       |1000000000   |1000000000   |1000000000   |0
188800000075|0       |1000000000   |1000000000   |1000000000   |0
188800000076|0       |1000000000   |1000000000   |1000000000   |0
188800000077|0       |1000000000   |1000000000   |1000000000   |0
188800000078|0       |1000000000   |1000000000   |1000000000   |0
188800000079|0       |1000000000   |1000000000   |1000000000   |0
188800000080|0       |1000000000   |1000000000   |1000000000   |0
188800000081|0       |1000000000   |1000000000   |1000000000   |0
188800000082|0       |1000000000   |1000000000   |1000000000   |0
188800000083|0       |1000000000   |1000000000   |1000000000   |0
188800000084|0       |1000000000   |1000000000   |1000000000   |0
188800000085|0       |1000000000   |1000000000   |1000000000   |0
188800000086|0       |1000000000   |1000000000   |1000000000   |0
188800000087|0       |1000000000   |1000000000   |1000000000   |0
188800000088|0       |1000000000   |1000000000   |1000000000   |0
188800000089|0       |1000000000   |1000000000   |1000000000   |0
188800000090|0       |1000000000   |1000000000   |1000000000   |0
188800000091|0       |1000000000   |1000000000   |1000000000   |0
188800000092|0       |1000000000   |1000000000   |1000000000   |0
188800000093|0       |1000000000   |1000000000   |1000000000   |0
188800000094|0       |1000000000   |1000000000   |1000000000   |0
188800000095|0       |1000000000   |1000000000   |1000000000   |0
188800000096|0       |1000000000   |1000000000   |1000000000   |0
188800000097|0       |1000000000   |1000000000   |1000000000   |0
188800000098|0       |1000000000   |1000000000   |1000000000   |0
188800000099|0       |1000000000   |1000000000   |1000000000   |0
188800000100|0       |1000000000   |1000000000   |1000000000   |0
188800000101|0       |1000000000   |1000000000   |1000000000   |0
188800000102|0       |1000000000   |1000000000   |1000000000   |0
188800000103|0       |1000000000   |1000000000   |1000000000   |0
188800000104|0       |1000000000   |1000000000   |1000000000   |0
188800000105|0       |1000000000   |1000000000   |1000000000   |0
188800000106|0       |1000000000   |1000000000   |1000000000   |0
188800000107|0       |1000000000   |1000000000   |1000000000   |0
188800000108|0       |1000000000   |1000000000   |1000000000   |0
188800000109|0       |1000000000   |1000000000   |1000000000   |0
188800000110|0       |1000000000   |1000000000   |1000000000   |0
188800000111|0       |1000000000   |1000000000   |1000000000   |0
188800000112|0       |1000000000   |1000000000   |1000000000   |0
188800000113|0       |1000000000   |1000000000   |1000000000   |0
188800000114|0       |1000000000   |1000000000   |1000000000   |0
188800000115|0       |1000000000   |1000000000   |1000000000   |0
188800000116|0       |1000000000   |1000000000   |1000000000   |0
188800000117|0       |1000000000   |1000000000   |1000000000   |0
188800000118|0       |1000000000   |1000000000   |1000000000   |0
188800000119|0       |1000000000   |1000000000   |1000000000   |0
188800000120|0       |1000000000   |1000000000   |1000000000   |0
188800000121|0       |1000000000   |1000000000   |1000000000   |0
188800000122|0       |1000000000   |1000000000   |1000000000   |0
188800000123|0       |1000000000   |1000000000   |1000000000   |0
188800000124|0       |1000000000   |1000000000   |1000000000   |0
188800000125|0       |1000000000   |1000000000   |1000000000   |0
188800000126|0       |1000000000   |1000000000   |1000000000   |0
188800000127|0       |1000000000   |1000000000   |1000000000   |0
188800000128|0       |1000000000   |1000000000   |1000000000   |0
188800000129|0       |1000000000   |1000000000   |1000000000   |0
188800000130|0       |1000000000   |1000000000   |1000000000   |0
188800000131|0       |1000000000   |1000000000   |1000000000   |0
188800000132|0       |1000000000   |1000000000   |1000000000   |0
188800000133|0       |1000000000   |1000000000   |1000000000   |0
188800000134|0       |1000000000   |1000000000   |1000000000   |0
188800000135|0       |1000000000   |1000000000   |1000000000   |0
188800000136|0       |1000000000   |1000000000   |1000000000   |0
188800000137|0       |1000000000   |1000000000   |1000000000   |0
188800000138|0       |1000000000   |1000000000   |1000000000   |0
188800000139|0       |1000000000   |1000000000   |1000000000   |0
188800000140|0       |1000000000   |1000000000   |1000000000   |0
188800000141|0       |1000000000   |1000000000   |1000000000   |0
188800000142|0       |1000000000   |1000000000   |1000000000   |0
188800000143|0       |1000000000   |1000000000   |1000000000   |0
188800000144|0       |1000000000   |1000000000   |1000000000   |0
188800000145|0       |1000000000   |1000000000   |1000000000   |0
188800000146|0       |1000000000   |1000000000   |1000000000   |0
188800000147|0       |1000000000   |1000000000   |1000000000   |0
188800000148|0       |1000000000   |1000000000   |1000000000   |0
188800000149|0       |1000000000   |1000000000   |1000000000   |0
188800000150|0       |1000000000   |1000000000   |1000000000   |0
188800000151|0       |1000000000   |1000000000   |1000000000   |0
188800000152|0       |1000000000   |1000000000   |1000000000   |0
188800000153|0       |1000000000   |1000000000   |1000000000   |0
188800000154|0       |1000000000   |1000000000   |1000000000   |0
188800000155|0       |1000000000   |1000000000   |1000000000   |0
188800000156|0       |1000000000   |1000000000   |1000000000   |0
188800000157|0       |1000000000   |1000000000   |1000000000   |0
188800000158|0       |1000000000   |1000000000   |1000000000   |0
188800000159|0       |1000000000   |1000000000   |1000000000   |0
188800000160|0       |1000000000   |1000000000   |1000000000   |0
188800000161|0       |1000000000   |1000000000   |1000000000   |0
188800000162|0       |1000000000   |1000000000   |1000000000   |0
188800000163|0       |1000000000   |1000000000   |1000000000   |0
188800000164|0       |1000000000   |1000000000   |1000000000   |0
188800000165|0       |1000000000   |1000000000   |1000000000   |0
188800000166|0       |1000000000   |1000000000   |1000000000   |0
188800000167|0       |1000000000   |1000000000   |1000000000   |0
188800000168|0       |1000000000   |1000000000   |1000000000   |0
188800000169|0       |1000000000   |1000000000   |1000000000   |0
188800000170|0       |1000000000   |1000000000   |1000000000   |0
188800000171|0       |1000000000   |1000000000   |1000000000   |0
188800000172|0       |1000000000   |1000000000   |1000000000   |0
188800000173|0       |1000000000   |1000000000   |1000000000   |0
188800000174|0       |1000000000   |1000000000   |1000000000   |0
188800000175|0       |1000000000   |1000000000   |1000000000   |0
188800000176|0       |1000000000   |1000000000   |1000000000   |0
188800000177|0       |1000000000   |1000000000   |1000000000   |0
188800000178|0       |1000000000   |1000000000   |1000000000   |0
188800000179|0       |1000000000   |1000000000   |1000000000   |0
188800000180|0       |1000000000   |1000000000   |1000000000   |0
188800000181|0       |1000000000   |1000000000   |1000000000   |0
188800000182|0       |1000000000   |1000000000   |1000000000   |0
188800000183|0       |1000000000   |1000000000   |1000000000   |0
188800000184|0       |1000000000   |1000000000   |1000000000   |0
188800000185|0       |1000000000   |1000000000   |1000000000   |0
188800000186|0       |1000000000   |1000000000   |1000000000   |0
188800000187|0       |1000000000   |1000000000   |1000000000   |0
188800000188|0       |1000000000   |1000000000   |1000000000   |0
188800000189|0       |1000000000   |1000000000   |1000000000   |0
188800000190|0       |1000000000   |1000000000   |1000000000   |0
188800000191|0       |1000000000   |1000000000   |1000000000   |0
188800000192|0       |1000000000   |1000000000   |1000000000   |0
188800000193|0       |1000000000   |1000000000   |1000000000   |0
188800000194|0       |1000000000   |1000000000   |1000000000   |0
188800000195|0       |1000000000   |1000000000   |1000000000   |0
188800000196|0       |1000000000   |1000000000   |1000000000   |0
188800000197|0       |1000000000   |1000000000   |1000000000   |0
188800000198|0       |1000000000   |1000000000   |1000000000   |0
188800000199|0       |1000000000   |1000000000   |1000000000   |0
188800000200|0       |1000000000   |1000000000   |1000000000   |0
188800000201|0       |1000000000   |1000000000   |1000000000   |0
188800000202|0       |1000000000   |1000000000   |1000000000   |0
188800000203|0       |1000000000   |1000000000   |1000000000   |0
188800000204|0       |1000000000   |1000000000   |1000000000   |0
188800000205|0       |1000000000   |1000000000   |1000000000   |0
188800000206|0       |1000000000   |1000000000   |1000000000   |0
188800000207|0       |1000000000   |1000000000   |1000000000   |0
188800000208|0       |1000000000   |1000000000   |1000000000   |0
188800000209|0       |1000000000   |1000000000   |1000000000   |0
188800000210|0       |1000000000   |1000000000   |1000000000   |0
188800000211|0       |1000000000   |1000000000   |1000000000   |0
188800000212|0       |1000000000   |1000000000   |1000000000   |0
188800000213|0       |1000000000   |1000000000   |1000000000   |0
188800000214|0       |1000000000   |1000000000   |1000000000   |0
188800000215|0       |1000000000   |1000000000   |1000000000   |0
188800000216|0       |1000000000   |1000000000   |1000000000   |0
188800000217|0       |1000000000   |1000000000   |1000000000   |0
188800000218|0       |1000000000   |1000000000   |1000000000   |0
188800000219|0       |1000000000   |1000000000   |1000000000   |0
188800000220|0       |1000000000   |1000000000   |1000000000   |0
188800000221|0       |1000000000   |1000000000   |1000000000   |0
188800000222|0       |1000000000   |1000000000   |1000000000   |0
188800000223|0       |1000000000   |1000000000   |1000000000   |0
188800000224|0       |1000000000   |1000000000   |1000000000   |0
188800000225|0       |1000000000   |1000000000   |1000000000   |0
188800000226|0       |1000000000   |1000000000   |1000000000   |0
188800000227|0       |1000000000   |1000000000   |1000000000   |0
188800000228|0       |1000000000   |1000000000   |1000000000   |0
188800000229|0       |1000000000   |1000000000   |1000000000   |0
188800000230|0       |1000000000   |1000000000   |1000000000   |0
188800000231|0       |1000000000   |1000000000   |1000000000   |0
188800000232|0       |1000000000   |1000000000   |1000000000   |0
188800000233|0       |1000000000   |1000000000   |1000000000   |0
188800000234|0       |1000000000   |1000000000   |1000000000   |0
188800000235|0       |1000000000   |1000000000   |1000000000   |0
188800000236|0       |1000000000   |1000000000   |1000000000   |0
188800000237|0       |1000000000   |1000000000   |1000000000   |0
188800000238|0       |1000000000   |1000000000   |1000000000   |0
188800000239|0       |1000000000   |1000000000   |1000000000   |0

